2.7881 	WARNING 	Movie2 stim could not be imported and won't be available
104.1734 	DATA 	Keypress: v
104.3738 	DATA 	Keypress: v
104.5410 	DATA 	Keypress: v
104.7081 	DATA 	Keypress: v
104.9087 	DATA 	Keypress: v
119.6982 	DATA 	Keypress: t
119.8987 	DATA 	Keypress: t
120.0667 	DATA 	Keypress: t
120.2664 	DATA 	Keypress: t
120.4334 	DATA 	Keypress: t
120.6006 	DATA 	Keypress: t
120.8011 	DATA 	Keypress: t
121.0352 	DATA 	Keypress: t
121.2356 	DATA 	Keypress: t
121.4362 	DATA 	Keypress: t
121.6702 	DATA 	Keypress: t
121.8371 	DATA 	Keypress: t
122.0043 	DATA 	Keypress: t
122.2048 	DATA 	Keypress: t
122.4055 	DATA 	Keypress: t
122.6059 	DATA 	Keypress: t
122.8066 	DATA 	Keypress: t
123.0070 	DATA 	Keypress: t
123.1741 	DATA 	Keypress: t
123.3413 	DATA 	Keypress: t
123.5083 	DATA 	Keypress: t
123.7089 	DATA 	Keypress: t
123.9095 	DATA 	Keypress: t
124.1099 	DATA 	Keypress: t
124.3439 	DATA 	Keypress: t
124.5445 	DATA 	Keypress: t
124.9456 	DATA 	Keypress: t
125.1127 	DATA 	Keypress: t
125.2798 	DATA 	Keypress: t
125.5138 	DATA 	Keypress: t
125.7150 	DATA 	Keypress: t
125.9148 	DATA 	Keypress: t
143.5955 	DATA 	Keypress: v
143.7960 	DATA 	Keypress: v
143.9296 	DATA 	Keypress: v
144.0633 	DATA 	Keypress: v
144.3641 	DATA 	Keypress: v
144.5648 	DATA 	Keypress: v
144.7317 	DATA 	Keypress: v
144.8990 	DATA 	Keypress: v
145.0326 	DATA 	Keypress: v
145.1997 	DATA 	Keypress: v
145.3334 	DATA 	Keypress: v
145.4671 	DATA 	Keypress: v
145.6342 	DATA 	Keypress: v
145.8348 	DATA 	Keypress: v
146.0018 	DATA 	Keypress: v
146.1690 	DATA 	Keypress: v
146.3360 	DATA 	Keypress: v
146.5366 	DATA 	Keypress: v
146.7372 	DATA 	Keypress: v
146.9043 	DATA 	Keypress: v
147.0714 	DATA 	Keypress: v
147.2385 	DATA 	Keypress: v
147.4056 	DATA 	Keypress: v
147.6397 	DATA 	Keypress: v
147.8067 	DATA 	Keypress: v
148.0072 	DATA 	Keypress: v
148.2080 	DATA 	Keypress: v
148.4083 	DATA 	Keypress: v
148.6423 	DATA 	Keypress: v
148.7759 	DATA 	Keypress: v
149.0434 	DATA 	Keypress: v
149.1770 	DATA 	Keypress: v
149.4110 	DATA 	Keypress: v
149.5446 	DATA 	Keypress: v
149.7117 	DATA 	Keypress: v
149.8789 	DATA 	Keypress: v
150.0795 	DATA 	Keypress: v
150.2465 	DATA 	Keypress: v
150.5808 	DATA 	Keypress: v
150.8482 	DATA 	Keypress: v
151.0487 	DATA 	Keypress: v
151.2826 	DATA 	Keypress: v
151.5835 	DATA 	Keypress: v
151.7839 	DATA 	Keypress: v
152.0180 	DATA 	Keypress: v
152.3188 	DATA 	Keypress: v
152.5527 	DATA 	Keypress: v
152.7533 	DATA 	Keypress: v
152.9537 	DATA 	Keypress: v
153.1877 	DATA 	Keypress: v
153.5553 	DATA 	Keypress: v
153.7560 	DATA 	Keypress: v
154.0234 	DATA 	Keypress: v
154.3242 	DATA 	Keypress: v
154.7253 	DATA 	Keypress: v
155.1932 	DATA 	Keypress: v
155.4271 	DATA 	Keypress: v
168.6124 	DATA 	Keypress: t
168.7795 	DATA 	Keypress: t
168.9800 	DATA 	Keypress: t
169.1137 	DATA 	Keypress: t
169.2474 	DATA 	Keypress: t
169.4145 	DATA 	Keypress: t
169.5816 	DATA 	Keypress: t
169.7487 	DATA 	Keypress: t
169.9493 	DATA 	Keypress: t
170.1162 	DATA 	Keypress: t
170.2835 	DATA 	Keypress: t
170.4506 	DATA 	Keypress: t
170.5843 	DATA 	Keypress: t
170.7514 	DATA 	Keypress: t
170.9185 	DATA 	Keypress: t
171.0857 	DATA 	Keypress: t
171.3531 	DATA 	Keypress: t
171.4867 	DATA 	Keypress: t
171.6539 	DATA 	Keypress: t
171.8209 	DATA 	Keypress: t
171.9881 	DATA 	Keypress: t
172.1561 	DATA 	Keypress: t
172.3223 	DATA 	Keypress: t
172.6900 	DATA 	Keypress: t
172.8905 	DATA 	Keypress: t
173.0575 	DATA 	Keypress: t
173.2581 	DATA 	Keypress: t
173.3918 	DATA 	Keypress: t
173.5589 	DATA 	Keypress: t
173.7260 	DATA 	Keypress: t
173.9266 	DATA 	Keypress: t
174.0938 	DATA 	Keypress: t
