3.4570 	WARNING 	Movie2 stim could not be imported and won't be available
142.0887 	DATA 	Keypress: v
142.3227 	DATA 	Keypress: v
142.5232 	DATA 	Keypress: v
142.7238 	DATA 	Keypress: v
142.9242 	DATA 	Keypress: v
143.1248 	DATA 	Keypress: v
143.3254 	DATA 	Keypress: v
143.5926 	DATA 	Keypress: v
156.8115 	DATA 	Keypress: t
157.0120 	DATA 	Keypress: t
157.2126 	DATA 	Keypress: t
157.3797 	DATA 	Keypress: t
157.5803 	DATA 	Keypress: t
157.8141 	DATA 	Keypress: t
158.0481 	DATA 	Keypress: t
158.3491 	DATA 	Keypress: t
158.5495 	DATA 	Keypress: t
158.8502 	DATA 	Keypress: t
159.0842 	DATA 	Keypress: t
159.3516 	DATA 	Keypress: t
160.0869 	DATA 	Keypress: t
160.4211 	DATA 	Keypress: t
160.6550 	DATA 	Keypress: t
160.8556 	DATA 	Keypress: t
161.0562 	DATA 	Keypress: t
161.2233 	DATA 	Keypress: t
161.5574 	DATA 	Keypress: t
162.0254 	DATA 	Keypress: t
162.1925 	DATA 	Keypress: t
162.3596 	DATA 	Keypress: t
162.5602 	DATA 	Keypress: t
162.7272 	DATA 	Keypress: t
162.9947 	DATA 	Keypress: t
163.1953 	DATA 	Keypress: t
163.3623 	DATA 	Keypress: t
163.5628 	DATA 	Keypress: t
163.7634 	DATA 	Keypress: t
163.9639 	DATA 	Keypress: t
164.1645 	DATA 	Keypress: t
164.3316 	DATA 	Keypress: t
164.5321 	DATA 	Keypress: t
164.7660 	DATA 	Keypress: t
164.9665 	DATA 	Keypress: t
165.1337 	DATA 	Keypress: t
165.3677 	DATA 	Keypress: t
165.5348 	DATA 	Keypress: t
165.7687 	DATA 	Keypress: t
165.9692 	DATA 	Keypress: t
166.1698 	DATA 	Keypress: t
166.4706 	DATA 	Keypress: t
166.6711 	DATA 	Keypress: t
166.8717 	DATA 	Keypress: t
167.0387 	DATA 	Keypress: t
167.2059 	DATA 	Keypress: t
167.5068 	DATA 	Keypress: t
183.9174 	DATA 	Keypress: t
184.1847 	DATA 	Keypress: t
184.4186 	DATA 	Keypress: t
184.5857 	DATA 	Keypress: t
184.8196 	DATA 	Keypress: t
185.0871 	DATA 	Keypress: t
185.3879 	DATA 	Keypress: t
185.6219 	DATA 	Keypress: t
185.8224 	DATA 	Keypress: t
186.0564 	DATA 	Keypress: t
186.2903 	DATA 	Keypress: t
186.5243 	DATA 	Keypress: t
186.7583 	DATA 	Keypress: t
187.0256 	DATA 	Keypress: t
187.2930 	DATA 	Keypress: t
187.5270 	DATA 	Keypress: t
187.8612 	DATA 	Keypress: t
188.2289 	DATA 	Keypress: t
188.4961 	DATA 	Keypress: t
188.7302 	DATA 	Keypress: t
188.9306 	DATA 	Keypress: t
189.1647 	DATA 	Keypress: t
189.3652 	DATA 	Keypress: t
189.5658 	DATA 	Keypress: t
189.7662 	DATA 	Keypress: t
190.0003 	DATA 	Keypress: t
190.1673 	DATA 	Keypress: t
190.3679 	DATA 	Keypress: t
190.5351 	DATA 	Keypress: t
190.7689 	DATA 	Keypress: t
190.9027 	DATA 	Keypress: t
191.1701 	DATA 	Keypress: t
191.3372 	DATA 	Keypress: t
191.5377 	DATA 	Keypress: t
204.7731 	DATA 	Keypress: t
205.0071 	DATA 	Keypress: t
205.2077 	DATA 	Keypress: t
205.3748 	DATA 	Keypress: t
205.6087 	DATA 	Keypress: t
205.8092 	DATA 	Keypress: t
206.0097 	DATA 	Keypress: t
206.2102 	DATA 	Keypress: t
206.3774 	DATA 	Keypress: t
206.6113 	DATA 	Keypress: t
206.8118 	DATA 	Keypress: t
207.0124 	DATA 	Keypress: t
207.2130 	DATA 	Keypress: t
207.4135 	DATA 	Keypress: t
207.6141 	DATA 	Keypress: t
207.7812 	DATA 	Keypress: t
207.9817 	DATA 	Keypress: t
208.1488 	DATA 	Keypress: t
208.3828 	DATA 	Keypress: t
208.6167 	DATA 	Keypress: t
208.7837 	DATA 	Keypress: t
208.9509 	DATA 	Keypress: t
209.1184 	DATA 	Keypress: t
209.3186 	DATA 	Keypress: t
