3.6398 	WARNING 	Movie2 stim could not be imported and won't be available
3.7276 	WARNING 	TextBox stim could not be imported and won't be available.
3.7277 	WARNING 	TextBox Font Manager Found No Fonts.
42.4788 	DATA 	version A
44.2466 	DATA 	Keypress: 2
45.6544 	DATA 	Keypress: return
45.6547 	DATA 	RatingScale teddy_rating: (key response) rating=2
45.6548 	DATA 	RatingScale teddy_rating: rating RT=2.709
45.6548 	DATA 	RatingScale teddy_rating: history=[(None, 0.0), (2, 1.302), (2, 2.709)]
46.2684 	DATA 	Keypress: 4
46.8078 	DATA 	Keypress: return
46.8081 	DATA 	RatingScale MM_rating: (key response) rating=4
46.8082 	DATA 	RatingScale MM_rating: rating RT=1.145
46.8082 	DATA 	RatingScale MM_rating: history=[(None, 0.0), (4, 0.606), (4, 1.145)]
48.1236 	DATA 	Keypress: 7
48.5290 	DATA 	Keypress: return
48.5293 	DATA 	RatingScale BBQ_rating: (key response) rating=7
48.5294 	DATA 	RatingScale BBQ_rating: rating RT=1.713
48.5295 	DATA 	RatingScale BBQ_rating: history=[(None, 0.0), (7, 1.308), (7, 1.713)]
50.3460 	DATA 	Keypress: 3
50.7514 	DATA 	Keypress: return
50.7517 	DATA 	RatingScale Hunger_rating: (key response) rating=3
50.7518 	DATA 	RatingScale Hunger_rating: rating RT=2.214
50.7518 	DATA 	RatingScale Hunger_rating: history=[(None, 0.0), (3, 1.809), (3, 2.214)]
51.5472 	DATA 	Keypress: space
52.9845 	DATA 	Keypress: v
53.2853 	DATA 	Keypress: v
53.4858 	DATA 	Keypress: v
53.7198 	DATA 	Keypress: v
53.8869 	DATA 	Keypress: v
54.0540 	DATA 	Keypress: v
54.2545 	DATA 	Keypress: v
54.4550 	DATA 	Keypress: v
54.6555 	DATA 	Keypress: v
54.6558 	DATA 	win B
54.8896 	DATA 	Keypress: v
55.7920 	DATA 	Keypress: t
55.9925 	DATA 	Keypress: t
56.1596 	DATA 	Keypress: t
56.3602 	DATA 	Keypress: t
56.5608 	DATA 	Keypress: t
56.7612 	DATA 	Keypress: t
56.9284 	DATA 	Keypress: t
56.9286 	DATA 	win A
57.1289 	DATA 	Keypress: t
57.2960 	DATA 	Keypress: t
58.1317 	DATA 	Keypress: v
58.3321 	DATA 	Keypress: v
58.5327 	DATA 	Keypress: v
58.6997 	DATA 	Keypress: v
58.9003 	DATA 	Keypress: v
59.0674 	DATA 	Keypress: v
59.2680 	DATA 	Keypress: v
59.2683 	DATA 	win B
59.4686 	DATA 	Keypress: v
59.6356 	DATA 	Keypress: v
60.6384 	DATA 	Keypress: v
62.7774 	DATA 	Keypress: t
63.3456 	DATA 	Keypress: t
63.3469 	DATA 	Oops!
64.9165 	DATA 	Keypress: v
65.1504 	DATA 	Keypress: v
65.3508 	DATA 	Keypress: v
65.4845 	DATA 	Keypress: v
65.6517 	DATA 	Keypress: v
65.7855 	DATA 	Keypress: v
65.9859 	DATA 	Keypress: v
66.1865 	DATA 	Keypress: v
66.1868 	DATA 	win B
66.3535 	DATA 	Keypress: v
67.1224 	DATA 	Keypress: v
67.2897 	DATA 	Keypress: v
67.4900 	DATA 	Keypress: v
67.6570 	DATA 	Keypress: v
67.8242 	DATA 	Keypress: v
67.9913 	DATA 	Keypress: v
68.1585 	DATA 	Keypress: v
68.3255 	DATA 	Keypress: v
68.4926 	DATA 	Keypress: v
68.6597 	DATA 	Keypress: v
68.8603 	DATA 	Keypress: v
68.8609 	DATA 	win B
69.0275 	DATA 	Keypress: v
69.7627 	DATA 	Keypress: v
69.9632 	DATA 	Keypress: v
70.1305 	DATA 	Keypress: v
70.2976 	DATA 	Keypress: v
70.4981 	DATA 	Keypress: v
70.6651 	DATA 	Keypress: v
70.8323 	DATA 	Keypress: v
71.0328 	DATA 	Keypress: v
71.1999 	DATA 	Keypress: v
71.2002 	DATA 	win B
71.3671 	DATA 	Keypress: v
71.5342 	DATA 	Keypress: v
72.8712 	DATA 	Keypress: v
73.0048 	DATA 	Keypress: v
73.8738 	DATA 	Keypress: v
74.4754 	DATA 	Keypress: v
75.0770 	DATA 	Keypress: v
75.7788 	DATA 	Keypress: v
75.7799 	DATA 	correct
78.9541 	DATA 	Keypress: t
79.1212 	DATA 	Keypress: t
79.2882 	DATA 	Keypress: t
79.4218 	DATA 	Keypress: t
79.5891 	DATA 	Keypress: t
79.7561 	DATA 	Keypress: t
79.9233 	DATA 	Keypress: t
80.0903 	DATA 	Keypress: t
80.0905 	DATA 	win A
80.2575 	DATA 	Keypress: t
80.4246 	DATA 	Keypress: t
80.5918 	DATA 	Keypress: t
80.7588 	DATA 	Keypress: t
80.9594 	DATA 	Keypress: t
81.1265 	DATA 	Keypress: t
81.2935 	DATA 	Keypress: t
81.4607 	DATA 	Keypress: t
81.6278 	DATA 	Keypress: t
81.7615 	DATA 	Keypress: t
81.9621 	DATA 	Keypress: t
81.9623 	DATA 	win A
82.1626 	DATA 	Keypress: t
82.6974 	DATA 	Keypress: t
82.8979 	DATA 	Keypress: t
83.0984 	DATA 	Keypress: t
83.4661 	DATA 	Keypress: t
83.9675 	DATA 	Keypress: t
84.1345 	DATA 	Keypress: t
84.3016 	DATA 	Keypress: t
84.4687 	DATA 	Keypress: t
84.6359 	DATA 	Keypress: t
84.8364 	DATA 	Keypress: t
85.0035 	DATA 	Keypress: t
85.0038 	DATA 	win A
85.2041 	DATA 	Keypress: t
85.3711 	DATA 	Keypress: t
85.5383 	DATA 	Keypress: t
85.7723 	DATA 	Keypress: t
85.9393 	DATA 	Keypress: t
86.1567 	DATA 	Keypress: t
86.3572 	DATA 	Keypress: t
87.3265 	DATA 	Keypress: v
88.0952 	DATA 	Keypress: v
88.6634 	DATA 	Keypress: v
89.1648 	DATA 	Keypress: v
89.1658 	DATA 	Oops!
90.6186 	DATA 	Keypress: t
90.7857 	DATA 	Keypress: t
90.9194 	DATA 	Keypress: t
91.0864 	DATA 	Keypress: t
91.2536 	DATA 	Keypress: t
91.4542 	DATA 	Keypress: t
91.6212 	DATA 	Keypress: t
91.7884 	DATA 	Keypress: t
91.9888 	DATA 	Keypress: t
91.9890 	DATA 	win A
92.1560 	DATA 	Keypress: t
92.3231 	DATA 	Keypress: t
92.4902 	DATA 	Keypress: t
92.6574 	DATA 	Keypress: t
92.8245 	DATA 	Keypress: t
92.9926 	DATA 	Keypress: t
93.1921 	DATA 	Keypress: t
93.3593 	DATA 	Keypress: t
93.5599 	DATA 	Keypress: t
93.7269 	DATA 	Keypress: t
93.9274 	DATA 	Keypress: t
94.0946 	DATA 	Keypress: t
94.2950 	DATA 	Keypress: t
94.2953 	DATA 	win A
94.4621 	DATA 	Keypress: t
94.6293 	DATA 	Keypress: t
94.7964 	DATA 	Keypress: t
94.9636 	DATA 	Keypress: t
95.1307 	DATA 	Keypress: t
95.3313 	DATA 	Keypress: t
95.4983 	DATA 	Keypress: t
95.6654 	DATA 	Keypress: t
95.8659 	DATA 	Keypress: t
96.0330 	DATA 	Keypress: t
96.2002 	DATA 	Keypress: t
96.3673 	DATA 	Keypress: t
96.5345 	DATA 	Keypress: t
96.7016 	DATA 	Keypress: t
96.7018 	DATA 	win A
96.9021 	DATA 	Keypress: t
97.0691 	DATA 	Keypress: t
97.4369 	DATA 	Keypress: t
97.6040 	DATA 	Keypress: t
97.7954 	DATA 	Keypress: t
97.9883 	DATA 	Keypress: t
98.6233 	DATA 	Keypress: t
